"ID","Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?","Stock","Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price","Categories","Tags","Shipping class","Images","Download limit","Download expiry days","Parent","Grouped products","Upsells","Cross-sells","External URL","Button text","Position","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global"
,"simple","SP-001","Oasis Infinity Pool","1","1","visible","Premium infinity pool with stunning edge design.","<p>The Oasis Infinity Pool is our flagship product, featuring a stunning edge design that creates a visual effect where water appears to merge with the horizon. This premium pool is perfect for luxury homes and properties with a view.</p><h3>Features:</h3><ul><li>Infinity edge design</li><li>Premium reinforced concrete construction</li><li>Custom size options available</li><li>Integrated LED lighting system</li><li>Optional heating system</li><li>10-year structural warranty</li></ul><h3>Specifications:</h3><ul><li>Standard size: 12m x 5m x 1.5m (customizable)</li><li>Water capacity: 90,000 liters</li><li>Filtration: Advanced multi-stage system</li><li>Circulation: High-efficiency pumps</li></ul>","","","taxable","","1","10","2","0","0","","","","","1","","14999","19999","Swimming Pools > Infinity Pools","luxury, premium, infinity","","https://images.unsplash.com/photo-1564501049412-61c2a3083791?ixlib=rb-1.2.1&auto=format&fit=crop&w=1000&q=80,https://images.unsplash.com/photo-1572331165267-854da2b10ccc?ixlib=rb-1.2.1&auto=format&fit=crop&w=1000&q=80","","","","","","","","","0","Size","Small (8m x 4m), Medium (12m x 5m), Large (15m x 6m)","1","1","Material","Concrete, Fiberglass, Vinyl","1","1","Shape","Rectangle, Freeform, L-Shape","1","1","Installation Type","In-ground","1","1","","","",""
,"simple","SP-002","Azure Lap Pool","1","0","visible","Professional-grade lap pool for fitness enthusiasts.","<p>The Azure Lap Pool is designed for swimming enthusiasts who want to train at home. With its professional-grade design and durable construction, this lap pool provides the perfect environment for your swimming workouts.</p><h3>Features:</h3><ul><li>Professional lane markings</li><li>Anti-slip deck surfaces</li><li>Reinforced structure for durability</li><li>Energy-efficient filtration system</li><li>Optional counter-current system</li><li>5-year warranty</li></ul><h3>Specifications:</h3><ul><li>Standard size: 15m x 2.5m x 1.4m</li><li>Water capacity: 52,500 liters</li><li>Filtration: High-flow rate system</li><li>Construction: Reinforced concrete with special coating</li></ul>","","","taxable","","1","5","1","0","0","","","","","1","","8999","10999","Swimming Pools > Lap Pools","fitness, training, lap pool","","https://images.unsplash.com/photo-1575429198097-0414ec08e8cd?ixlib=rb-1.2.1&auto=format&fit=crop&w=1000&q=80,https://images.unsplash.com/photo-1534438097545-a2c22c57f2ad?ixlib=rb-1.2.1&auto=format&fit=crop&w=1000&q=80","","","","","","","","","0","Size","Small (10m x 2.5m), Standard (15m x 2.5m), Large (20m x 2.5m)","1","1","Material","Concrete, Fiberglass","1","1","Installation Type","In-ground","1","1","Features","Counter-current system, Heating, LED lighting","1","1","","","",""
,"simple","SP-003","Crystal Clear Above-Ground Pool","1","0","visible","Easy-to-install above-ground pool with premium features.","<p>The Crystal Clear Above-Ground Pool offers the perfect balance of quality, affordability, and ease of installation. Ideal for families who want a premium swimming experience without the commitment of an in-ground pool.</p><h3>Features:</h3><ul><li>Quick and easy installation</li><li>Durable steel frame construction</li><li>Premium vinyl liner with 15-year warranty</li><li>Included filtration system</li><li>Optional heating capability</li><li>Removable ladder with safety features</li></ul><h3>Specifications:</h3><ul><li>Diameter: 5.5m (18ft)</li><li>Height: 1.32m (52in)</li><li>Water capacity: 31,800 liters</li><li>Filtration: Sand filter system included</li></ul>","","","taxable","","1","15","3","0","0","250","550","550","132","1","","2499","2999","Swimming Pools > Above-ground Pools","family, easy installation, affordable","","https://images.unsplash.com/photo-1562841857-1a398770ff77?ixlib=rb-1.2.1&auto=format&fit=crop&w=1000&q=80,https://images.unsplash.com/photo-1543489822-c49534f3271f?ixlib=rb-1.2.1&auto=format&fit=crop&w=1000&q=80","","","","","","","","","0","Size","Small (4.6m), Medium (5.5m), Large (7.3m)","1","1","Shape","Round, Oval","1","1","Material","Steel frame with vinyl liner","1","1","Features","Ladder, Filter system, Maintenance kit","1","1","","","",""
,"simple","HT-001","Serenity Deluxe Hot Tub","1","1","visible","Premium 6-person hot tub with therapeutic jets and LED lighting.","<p>The Serenity Deluxe Hot Tub combines luxury, comfort, and therapeutic benefits in one stunning package. With its ergonomic seating, powerful jets, and ambient lighting, it creates the perfect environment for relaxation and hydrotherapy.</p><h3>Features:</h3><ul><li>6 ergonomically designed seats</li><li>45 therapeutic stainless steel jets</li><li>Multi-color LED lighting system</li><li>Waterfall feature</li><li>Energy-efficient insulation</li><li>Bluetooth audio system</li><li>Easy-to-use digital controls</li></ul><h3>Specifications:</h3><ul><li>Dimensions: 213cm x 213cm x 91cm</li><li>Water capacity: 1,325 liters</li><li>Power: 240V, 40A</li><li>Pump: 2.5HP dual-speed main pump, 1.5HP circulation pump</li><li>Heater: 3kW</li></ul>","","","taxable","","1","8","2","0","0","320","213","213","91","1","","7499","8999","Hot Tubs & Spas > Portable Spas","luxury, therapeutic, LED lighting","","https://images.unsplash.com/photo-1520333789090-1afc82db536a?ixlib=rb-1.2.1&auto=format&fit=crop&w=1000&q=80,https://images.unsplash.com/photo-1575196041530-b731e1e6909a?ixlib=rb-1.2.1&auto=format&fit=crop&w=1000&q=80","","","","","","","","","0","Seating Capacity","4-person, 6-person, 8-person","1","1","Jets","30 jets, 45 jets, 60 jets","1","1","Features","LED lighting, Waterfall, Bluetooth audio, Aromatherapy","1","1","Energy Efficiency","Standard, Energy Star Rated","1","1","","","",""
,"simple","HT-002","Therapy Pro Swim Spa","1","0","visible","Dual-zone swim spa combining exercise and relaxation.","<p>The Therapy Pro Swim Spa offers the best of both worlds: a powerful swim current for exercise and a therapeutic spa section for relaxation. Perfect for fitness enthusiasts who also want the benefits of hydrotherapy.</p><h3>Features:</h3><ul><li>Dual-zone design with separate temperature controls</li><li>Adjustable swim current with multiple speed settings</li><li>6 therapy seats with targeted hydrotherapy jets</li><li>Energy-efficient construction with full foam insulation</li><li>All-season performance for year-round use</li><li>Built-in exercise equipment attachments</li></ul><h3>Specifications:</h3><ul><li>Dimensions: 500cm x 230cm x 130cm</li><li>Water capacity: 6,800 liters</li><li>Power: 240V, 60A</li><li>Pumps: 3HP swim current pump, 2HP therapy pump</li><li>Heater: Dual 3kW heaters</li></ul>","","","taxable","","1","3","1","0","0","900","500","230","130","1","","12999","14999","Hot Tubs & Spas > Swim Spas","exercise, hydrotherapy, dual-zone","","https://images.unsplash.com/photo-1572853566605-af9811c8c22f?ixlib=rb-1.2.1&auto=format&fit=crop&w=1000&q=80,https://images.unsplash.com/photo-1519046976234-3fef6e6e43fc?ixlib=rb-1.2.1&auto=format&fit=crop&w=1000&q=80","","","","","","","","","0","Size","Small (4m), Standard (5m), Large (6m)","1","1","Jets","30 jets, 45 jets, 60 jets","1","1","Features","Swim current, Exercise equipment, LED lighting, Waterfall","1","1","Energy Efficiency","Standard, Energy Star Rated","1","1","","","",""
,"simple","PE-001","AquaPro Variable Speed Pump","1","0","visible","Energy-efficient variable speed pool pump with smart controls.","<p>The AquaPro Variable Speed Pump delivers exceptional performance while significantly reducing energy consumption. With its programmable speed settings and smart controls, it optimizes water circulation while minimizing operating costs.</p><h3>Features:</h3><ul><li>Variable speed technology (600-3450 RPM)</li><li>Digital control interface with 8 programmable speed settings</li><li>Ultra-efficient permanent magnet motor</li><li>Compatible with automation systems</li><li>Built-in diagnostics and protection</li><li>Extremely quiet operation</li></ul><h3>Specifications:</h3><ul><li>Power: 230V, 16A</li><li>HP: 1.65 THP</li><li>Flow rate: Up to 140 GPM</li><li>Energy savings: Up to 80% compared to single-speed pumps</li><li>Warranty: 3 years</li></ul>","","","taxable","","1","25","5","0","0","12.5","60","30","38","1","","699","899","Pool Equipment > Pumps","energy-efficient, variable speed, quiet","","https://images.unsplash.com/photo-1575140685503-f1138834ebf7?ixlib=rb-1.2.1&auto=format&fit=crop&w=1000&q=80,https://images.unsplash.com/photo-1575140685503-f1138834ebf7?ixlib=rb-1.2.1&auto=format&fit=crop&w=1000&q=80","","","","","","","","","0","Power","0.75 HP, 1.0 HP, 1.5 HP, 2.0 HP","1","1","Efficiency","Standard, Energy Star Rated","1","1","Compatibility","All pool types","1","1","Smart Features","Timer, Remote control, Automation system compatible","1","1","","","",""
,"simple","PE-002","ClearWater Sand Filter System","1","0","visible","High-performance sand filter system for crystal clear water.","<p>The ClearWater Sand Filter System provides superior filtration for your pool, removing debris, dirt, and fine particles to keep your water crystal clear. Its durable construction and efficient design make it a reliable choice for pool owners.</p><h3>Features:</h3><ul><li>High-capacity filtration</li><li>Durable corrosion-resistant tank</li><li>6-way multiport valve for easy operation</li><li>Large sand capacity for extended filtration cycles</li><li>Easy maintenance and backwashing</li><li>Pressure gauge included</li></ul><h3>Specifications:</h3><ul><li>Tank diameter: 22 inches</li><li>Filter area: 2.63 sq. ft.</li><li>Flow rate: Up to 73 GPM</li><li>Sand capacity: 100 lbs</li><li>Maximum pressure: 50 PSI</li><li>Warranty: 1 year</li></ul>","","","taxable","","1","20","4","0","0","15","56","56","75","1","","299","399","Pool Equipment > Filters","sand filter, water clarity, easy maintenance","","https://images.unsplash.com/photo-1575140685503-f1138834ebf7?ixlib=rb-1.2.1&auto=format&fit=crop&w=1000&q=80,https://images.unsplash.com/photo-1575140685503-f1138834ebf7?ixlib=rb-1.2.1&auto=format&fit=crop&w=1000&q=80","","","","","","","","","0","Size","16 inch, 19 inch, 22 inch, 25 inch","1","1","Efficiency","Standard, High-efficiency","1","1","Compatibility","All pool types","1","1","","","","",""
,"simple","PE-003","SolarHeat Pool Heater","1","1","visible","Eco-friendly solar pool heater for extended swimming seasons.","<p>The SolarHeat Pool Heater harnesses the power of the sun to warm your pool water, extending your swimming season without increasing energy costs. This eco-friendly heating solution is easy to install and virtually maintenance-free.</p><h3>Features:</h3><ul><li>High-efficiency solar collector panels</li><li>Modular design for customizable heating capacity</li><li>Automatic temperature control system</li><li>Durable UV-resistant materials</li><li>Compatible with existing pool systems</li><li>Zero operating costs</li></ul><h3>Specifications:</h3><ul><li>Panel dimensions: 120cm x 240cm</li><li>Heating capacity: Approximately 2-5°C increase per day (weather dependent)</li><li>Recommended panel area: 50% of pool surface area</li><li>Flow rate: 2-4 GPM per panel</li><li>Warranty: 10 years</li></ul>","","","taxable","","1","12","3","0","0","8","240","120","5","1","","1299","1499","Pool Equipment > Heaters","solar, eco-friendly, energy-saving","","https://images.unsplash.com/photo-1575140685503-f1138834ebf7?ixlib=rb-1.2.1&auto=format&fit=crop&w=1000&q=80,https://images.unsplash.com/photo-1575140685503-f1138834ebf7?ixlib=rb-1.2.1&auto=format&fit=crop&w=1000&q=80","","","","","","","","","0","Power","2 panels, 4 panels, 6 panels, 8 panels","1","1","Efficiency","Standard, High-efficiency","1","1","Compatibility","All pool types","1","1","","","","",""
,"simple","WC-001","AquaBalance Complete Water Care Kit","1","0","visible","All-in-one water care kit for balanced and healthy pool water.","<p>The AquaBalance Complete Water Care Kit provides everything you need to maintain perfectly balanced and healthy pool water. This comprehensive kit includes precisely measured chemicals and easy-to-follow instructions for hassle-free pool maintenance.</p><h3>Kit Contents:</h3><ul><li>Chlorine tablets (5 kg)</li><li>pH increaser (1 kg)</li><li>pH decreaser (1 kg)</li><li>Alkalinity increaser (1 kg)</li><li>Calcium hardness increaser (1 kg)</li><li>Algaecide (1 L)</li><li>Clarifier (1 L)</li><li>Complete test kit with digital reader</li><li>Detailed instruction manual</li></ul><h3>Benefits:</h3><ul><li>Maintains proper sanitization</li><li>Prevents algae growth</li><li>Ensures water clarity</li><li>Protects pool equipment</li><li>Enhances swimmer comfort</li></ul>","","","taxable","","1","30","5","0","0","10","40","30","20","1","","149","199","Water Care > Chemicals","water balance, maintenance, complete kit","","https://images.unsplash.com/photo-1575140685503-f1138834ebf7?ixlib=rb-1.2.1&auto=format&fit=crop&w=1000&q=80,https://images.unsplash.com/photo-1575140685503-f1138834ebf7?ixlib=rb-1.2.1&auto=format&fit=crop&w=1000&q=80","","","","","","","","","0","Treatment Type","Chlorine, Bromine, Salt","1","1","Usage","Small pools, Medium pools, Large pools","1","1","Size","Standard kit, Premium kit","1","1","","","","",""
,"simple","WC-002","Digital Water Testing System","1","0","visible","Professional-grade digital water testing system for precise measurements.","<p>The Digital Water Testing System provides laboratory-grade accuracy for all critical water parameters. This advanced testing system takes the guesswork out of water chemistry, ensuring your pool water is perfectly balanced for safety, equipment protection, and swimmer comfort.</p><h3>Features:</h3><ul><li>Digital photometer for precise readings</li><li>Tests for 11 different water parameters</li><li>Large backlit display</li><li>Waterproof housing</li><li>Memory storage for test history</li><li>Automatic temperature compensation</li><li>Includes carrying case and all testing reagents</li></ul><h3>Parameters Tested:</h3><ul><li>Free Chlorine</li><li>Total Chlorine</li><li>Bromine</li><li>pH</li><li>Alkalinity</li><li>Calcium Hardness</li><li>Cyanuric Acid</li><li>Copper</li><li>Iron</li><li>Salt</li><li>TDS</li></ul>","","","taxable","","1","15","3","0","0","0.5","20","12","5","1","","199","249","Water Care > Testing Kits","digital, professional, accurate","","https://images.unsplash.com/photo-1575140685503-f1138834ebf7?ixlib=rb-1.2.1&auto=format&fit=crop&w=1000&q=80,https://images.unsplash.com/photo-1575140685503-f1138834ebf7?ixlib=rb-1.2.1&auto=format&fit=crop&w=1000&q=80","","","","","","","","","0","Treatment Type","Digital, Test strips, Liquid test","1","1","Usage","Residential, Commercial","1","1","Parameters","Basic (4 parameters), Standard (7 parameters), Professional (11 parameters)","1","1","","","","",""
,"simple","AC-001","Automatic Pool Cover System","1","1","visible","Premium automatic pool cover system for safety and heat retention.","<p>The Automatic Pool Cover System provides the ultimate in convenience, safety, and energy efficiency. With the touch of a button, you can cover or uncover your pool, preventing debris accumulation, reducing evaporation, and maintaining water temperature.</p><h3>Features:</h3><ul><li>One-touch operation via key switch or remote control</li><li>Heavy-duty reinforced vinyl cover material</li><li>Automatic tracking system keeps cover aligned</li><li>Safety-rated to support the weight of an adult</li><li>Reduces chemical usage by up to 35%</li><li>Cuts heating costs by up to 70%</li><li>Available in multiple colors</li></ul><h3>Specifications:</h3><ul><li>Motor: 24V DC with manual override</li><li>Cover material: 18 oz reinforced vinyl</li><li>Maximum pool size: 12m x 6m (customizable)</li><li>Installation: Recessed or top-mounted</li><li>Warranty: 7 years on motor, 5 years on cover</li></ul>","","","taxable","","1","5","1","0","0","45","Variable","Variable","25","1","","2999","3499","Accessories > Covers","safety, automatic, energy-saving","","https://images.unsplash.com/photo-1575140685503-f1138834ebf7?ixlib=rb-1.2.1&auto=format&fit=crop&w=1000&q=80,https://images.unsplash.com/photo-1575140685503-f1138834ebf7?ixlib=rb-1.2.1&auto=format&fit=crop&w=1000&q=80","","","","","","","","","0","Material","Vinyl, Mesh, Solar","1","1","Compatibility","Rectangle pools, Freeform pools","1","1","Size","Small (up to 4m x 8m), Medium (up to 5m x 10m), Large (up to 6m x 12m)","1","1","Color","Blue, Green, Gray, Tan, Black","1","1","","","",""
,"simple","AC-002","Deluxe Pool Maintenance Kit","1","0","visible","Complete professional-grade pool maintenance kit with telescopic pole.","<p>The Deluxe Pool Maintenance Kit includes everything you need to keep your pool clean and inviting. This comprehensive kit features professional-grade tools designed for effective and efficient pool maintenance.</p><h3>Kit Contents:</h3><ul><li>18-foot telescopic pole with comfort grip</li><li>Deep-bag leaf rake</li><li>Curved wall brush</li><li>Vacuum head with side brushes</li><li>Premium vacuum hose (35 feet)</li><li>Surface skimmer</li><li>Thermometer</li><li>Test strips (50 count)</li><li>Algae brush</li><li>Heavy-duty storage bag</li></ul><h3>Benefits:</h3><ul><li>Professional-quality tools for thorough cleaning</li><li>Ergonomic design reduces strain</li><li>Durable construction for years of use</li><li>Compatible with most pool types</li><li>Comprehensive solution for all maintenance needs</li></ul>","","","taxable","","1","20","4","0","0","8","190","30","20","1","","149","199","Accessories > Maintenance Tools","cleaning, maintenance, professional","","https://images.unsplash.com/photo-1575140685503-f1138834ebf7?ixlib=rb-1.2.1&auto=format&fit=crop&w=1000&q=80,https://images.unsplash.com/photo-1575140685503-f1138834ebf7?ixlib=rb-1.2.1&auto=format&fit=crop&w=1000&q=80","","","","","","","","","0","Material","Standard, Premium","1","1","Compatibility","All pool types","1","1","Size","Basic kit, Standard kit, Deluxe kit","1","1","","","","",""